cod_cidade;cidade
290010;Abaíra
290020;Abaré
290030;Acajutiba
290035;Adustina
290040;Água Fria
290060;Aiquara
290070;Alagoinhas
290080;Alcobaça
290090;Almadina
290100;Amargosa
290110;Amélia Rodrigues
290115;América Dourada
290120;Anagé
290130;Andaraí
290135;Andorinha
290140;Angical
290150;Anguera
290160;Antas
290170;Antônio Cardoso
290180;Antônio Gonçalves
290190;Aporá
290195;Apuarema
290205;Araças
290200;Aracatu
290210;Araci
290220;Aramari
290225;Arataca
290230;Aratuípe
290240;Aurelino Leal
290250;Baianópolis
290260;Baixa Grande
290265;Banzaê
290270;Barra
290280;Barra da Estiva
290290;Barra do Choça
290300;Barra do Mendes
290310;Barra do Rocha
290320;Barreiras
290323;Barro Alto
290330;Barro Preto
290327;Barrocas
290340;Belmonte
290350;Belo Campo
290360;Biritinga
290370;Boa Nova
290380;Boa Vista do Tupim
290390;Bom Jesus da Lapa
290395;Bom Jesus da Serra
290400;Boninal
290405;Bonito
290410;Boquira
290420;Botuporã
290430;Brejões
290440;Brejolândia
290450;Brotas de Macaúbas
290460;Brumado
290470;Buerarema
290475;Buritirama
290480;Caatiba
290485;Cabaceiras do Paraguaçu
290490;Cachoeira
290500;Caculé
290510;Caém
290515;Caetanos
290520;Caetité
290530;Cafarnaum
290540;Cairu
290550;Caldeirão Grande
290560;Camacan
290570;Camaçari
290580;Camamu
290590;Campo Alegre de Lourdes
290600;Campo Formoso
290610;Canápolis
290620;Canarana
290630;Canavieiras
290640;Candeal
290650;Candeias
290660;Candiba
290670;Cândido Sales
290680;Cansanção
290682;Canudos
290685;Capela do Alto Alegre
290687;Capim Grosso
290689;Caraíbas
290690;Caravelas
290700;Cardeal da Silva
290710;Carinhanha
290720;Casa Nova
290730;Castro Alves
290740;Catolândia
290750;Catu
290755;Caturama
290760;Central
290770;Chorrochó
290780;Cícero Dantas
290790;Cipó
290800;Coaraci
290810;Cocos
290820;Conceição da Feira
290830;Conceição do Almeida
290840;Conceição do Coité
290850;Conceição do Jacuípe
290860;Conde
290870;Condeúba
290880;Contendas do Sincorá
290890;Coração de Maria
290900;Cordeiros
290910;Coribe
290920;Coronel João Sá
290930;Correntina
290940;Cotegipe
290950;Cravolândia
290960;Crisópolis
290970;Cristópolis
290980;Cruz das Almas
290990;Curaçá
291000;Dário Meira
291005;Dias d'Ávila
291010;Dom Basílio
291020;Dom Macedo Costa
291030;Elísio Medrado
291040;Encruzilhada
291050;Entre Rios
290050;Érico Cardoso
291060;Esplanada
291070;Euclides da Cunha
291072;Eunápolis
291075;Fátima
291077;Feira da Mata
291080;Feira de Santana
291085;Filadélfia
291090;Firmino Alves
291100;Floresta Azul
291110;Formosa do Rio Preto
291120;Gandu
291125;Gavião
291130;Gentio do Ouro
291140;Glória
291150;Gongogi
291160;Governador Mangabeira
291165;Guajeru
291170;Guanambi
291180;Guaratinga
291185;Heliópolis
291190;Iaçu
291200;Ibiassucê
291210;Ibicaraí
291220;Ibicoara
291230;Ibicuí
291240;Ibipeba
291250;Ibipitanga
291260;Ibiquera
291270;Ibirapitanga
291280;Ibirapuã
291290;Ibirataia
291300;Ibitiara
291310;Ibititá
291320;Ibotirama
291330;Ichu
291340;Igaporã
291345;Igrapiúna
291350;Iguaí
291360;Ilhéus
291370;Inhambupe
291380;Ipecaetá
291390;Ipiaú
291400;Ipirá
291410;Ipupiara
291420;Irajuba
291430;Iramaia
291440;Iraquara
291450;Irará
291460;Irecê
291465;Itabela
291470;Itaberaba
291480;Itabuna
291490;Itacaré
291500;Itaeté
291510;Itagi
291520;Itagibá
291530;Itagimirim
291535;Itaguaçu da Bahia
291540;Itaju do Colônia
291550;Itajuípe
291560;Itamaraju
291570;Itamari
291580;Itambé
291590;Itanagra
291600;Itanhém
291610;Itaparica
291620;Itapé
291630;Itapebi
291640;Itapetinga
291650;Itapicuru
291660;Itapitanga
291670;Itaquara
291680;Itarantim
291685;Itatim
291690;Itiruçu
291700;Itiúba
291710;Itororó
291720;Ituaçu
291730;Ituberá
291733;Iuiú
291735;Jaborandi
291740;Jacaraci
291750;Jacobina
291760;Jaguaquara
291770;Jaguarari
291780;Jaguaripe
291790;Jandaíra
291800;Jequié
291810;Jeremoabo
291820;Jiquiriçá
291830;Jitaúna
291835;João Dourado
291840;Juazeiro
291845;Jucuruçu
291850;Jussara
291855;Jussari
291860;Jussiape
291870;Lafaiete Coutinho
291875;Lagoa Real
291880;Laje
291890;Lajedão
291900;Lajedinho
291905;Lajedo do Tabocal
291910;Lamarão
291915;Lapão
291920;Lauro de Freitas
291930;Lençóis
291940;Licínio de Almeida
291950;Livramento de Nossa Senhora
291955;Luís Eduardo Magalhães
291960;Macajuba
291970;Macarani
291980;Macaúbas
291990;Macururé
291992;Madre de Deus
291995;Maetinga
292000;Maiquinique
292010;Mairi
292020;Malhada
292030;Malhada de Pedras
292040;Manoel Vitorino
292045;Mansidão
292050;Maracás
292060;Maragogipe
292070;Maraú
292080;Marcionílio Souza
292090;Mascote
292100;Mata de São João
292105;Matina
292110;Medeiros Neto
292120;Miguel Calmon
292130;Milagres
292140;Mirangaba
292145;Mirante
292150;Monte Santo
292160;Morpará
292170;Morro do Chapéu
292180;Mortugaba
292190;Mucugê
292200;Mucuri
292205;Mulungu do Morro
292210;Mundo Novo
292220;Muniz Ferreira
292225;Muquém de São Francisco
292230;Muritiba
292240;Mutuípe
292250;Nazaré
292260;Nilo Peçanha
292265;Nordestina
292270;Nova Canaã
292273;Nova Fátima
292275;Nova Ibiá
292280;Nova Itarana
292285;Nova Redenção
292290;Nova Soure
292300;Nova Viçosa
292303;Novo Horizonte
292305;Novo Triunfo
292310;Olindina
292320;Oliveira dos Brejinhos
292330;Ouriçangas
292335;Ourolândia
292340;Palmas de Monte Alto
292350;Palmeiras
292360;Paramirim
292370;Paratinga
292380;Paripiranga
292390;Pau Brasil
292400;Paulo Afonso
292405;Pé de Serra
292410;Pedrão
292420;Pedro Alexandre
292430;Piatã
292440;Pilão Arcado
292450;Pindaí
292460;Pindobaçu
292465;Pintadas
292467;Piraí do Norte
292470;Piripá
292480;Piritiba
292490;Planaltino
292500;Planalto
292510;Poções
292520;Pojuca
292525;Ponto Novo
292530;Porto Seguro
292540;Potiraguá
292550;Prado
292560;Presidente Dutra
292570;Presidente Jânio Quadros
292575;Presidente Tancredo Neves
292580;Queimadas
292590;Quijingue
292593;Quixabeira
292595;Rafael Jambeiro
292600;Remanso
292610;Retirolândia
292620;Riachão das Neves
292630;Riachão do Jacuípe
292640;Riacho de Santana
292650;Ribeira do Amparo
292660;Ribeira do Pombal
292665;Ribeirão do Largo
292670;Rio de Contas
292680;Rio do Antônio
292690;Rio do Pires
292700;Rio Real
292710;Rodelas
292720;Ruy Barbosa
292730;Salinas da Margarida
292740;Salvador
292750;Santa Bárbara
292760;Santa Brígida
292770;Santa Cruz Cabrália
292780;Santa Cruz da Vitória
292790;Santa Inês
292805;Santa Luzia
292810;Santa Maria da Vitória
292840;Santa Rita de Cássia
292850;Santa Teresinha
292800;Santaluz
292820;Santana
292830;Santanópolis
292860;Santo Amaro
292870;Santo Antônio de Jesus
292880;Santo Estêvão
292890;São Desidério
292895;São Domingos
292910;São Felipe
292900;São Félix
292905;São Félix do Coribe
292920;São Francisco do Conde
292925;São Gabriel
292930;São Gonçalo dos Campos
292935;São José da Vitória
292937;São José do Jacuípe
292940;São Miguel das Matas
292950;São Sebastião do Passé
292960;Sapeaçu
292970;Sátiro Dias
292975;Saubara
292980;Saúde
292990;Seabra
293000;Sebastião Laranjeiras
293010;Senhor do Bonfim
293020;Sento Sé
293015;Serra do Ramalho
293030;Serra Dourada
293040;Serra Preta
293050;Serrinha
293060;Serrolândia
293070;Simões Filho
293075;Sítio do Mato
293076;Sítio do Quinto
293077;Sobradinho
293080;Souto Soares
293090;Tabocas do Brejo Velho
293100;Tanhaçu
293105;Tanque Novo
293110;Tanquinho
293120;Taperoá
293130;Tapiramutá
293135;Teixeira de Freitas
293140;Teodoro Sampaio
293150;Teofilândia
293160;Teolândia
293170;Terra Nova
293180;Tremedal
293190;Tucano
293200;Uauá
293210;Ubaíra
293220;Ubaitaba
293230;Ubatã
293240;Uibaí
293245;Umburanas
293250;Una
293260;Urandi
293270;Uruçuca
293280;Utinga
293290;Valença
293300;Valente
293305;Várzea da Roça
293310;Várzea do Poço
293315;Várzea Nova
293317;Varzedo
293320;Vera Cruz
293325;Vereda
293330;Vitória da Conquista
293340;Wagner
293345;Wanderley
293350;Wenceslau Guimarães
293360;Xique-Xique
